user_id,pre_28d,post
u0000,3.307,4.536
u0001,8.189,5.529
u0002,3.076,3.567
u0003,7.052,7.965
u0004,3.325,1.372
u0005,7.553,7.055
u0006,9.374,9.023
u0007,5.776,4.656
u0008,11.655,7.862
u0009,4.273,2.187
u0010,6.210,5.692
u0011,5.241,4.765
u0012,6.601,6.946
u0013,8.413,7.026
u0014,2.062,4.468
u0015,2.877,3.256
u0016,2.758,3.521
u0017,4.287,4.764
u0018,13.261,9.201
u0019,7.853,3.805
u0020,5.366,6.210
u0021,5.796,5.891
u0022,6.227,3.513
u0023,7.240,4.439
u0024,10.118,6.605
u0025,7.509,6.135
u0026,8.095,5.308
u0027,8.198,6.273
u0028,8.779,8.015
u0029,6.311,3.988
u0030,7.689,7.119
u0031,9.612,6.570
u0032,7.220,6.936
u0033,6.623,6.038
u0034,6.401,4.383
u0035,3.768,3.319
u0036,7.300,8.886
u0037,8.150,8.483
u0038,7.710,7.568
u0039,6.403,6.988
u0040,9.902,6.824
u0041,4.474,8.185
u0042,6.538,7.441
u0043,7.923,4.199
u0044,11.354,11.619
u0045,6.389,6.944
u0046,6.279,3.774
u0047,5.753,5.875
u0048,8.455,7.998
u0049,6.131,7.946
u0050,4.326,5.886
u0051,8.447,6.091
u0052,2.061,1.411
u0053,6.521,6.590
u0054,9.406,5.265
u0055,6.004,6.535
u0056,5.653,0.607
u0057,7.774,10.669
u0058,8.209,4.772
u0059,5.093,5.222
u0060,11.476,9.485
u0061,6.250,8.397
u0062,5.820,8.738
u0063,4.493,3.569
u0064,7.586,8.879
u0065,7.439,6.664
u0066,1.992,1.741
u0067,4.657,3.547
u0068,7.290,5.373
u0069,7.733,6.410
u0070,5.268,5.122
u0071,6.943,7.449
u0072,4.949,4.280
u0073,3.000,6.697
u0074,9.194,6.717
u0075,4.948,2.373
u0076,6.374,5.898
u0077,10.800,8.408
u0078,4.289,0.000
u0079,9.101,7.365
u0080,2.460,3.695
u0081,2.461,9.966
u0082,8.462,7.742
u0083,5.615,1.023
u0084,5.722,2.193
u0085,7.312,1.958
u0086,4.003,6.519
u0087,9.616,5.045
u0088,2.625,5.115
u0089,7.877,4.458
u0090,4.473,3.141
u0091,3.383,2.568
u0092,8.752,8.124
u0093,10.525,7.624
u0094,5.702,3.270
u0095,5.728,2.655
u0096,2.090,4.474
u0097,9.168,8.633
u0098,8.931,7.392
u0099,4.420,4.595
u0100,5.177,2.736
u0101,2.277,0.435
u0102,5.988,5.580
u0103,4.956,7.441
u0104,6.394,6.624
u0105,8.681,5.216
u0106,1.666,4.346
u0107,4.485,6.958
u0108,6.743,7.621
u0109,7.680,2.271
u0110,7.582,4.891
u0111,4.337,3.558
u0112,7.690,7.910
u0113,8.225,3.370
u0114,4.701,0.072
u0115,5.776,6.317
u0116,4.319,4.841
u0117,6.509,7.494
u0118,4.193,2.731
u0119,4.321,7.706
u0120,8.399,6.385
u0121,6.496,5.790
u0122,6.447,5.149
u0123,5.265,2.508
u0124,4.588,7.659
u0125,7.180,6.072
u0126,5.527,5.159
u0127,6.777,4.500
u0128,6.432,5.994
u0129,4.353,2.895
u0130,3.802,2.071
u0131,7.958,1.892
u0132,5.413,3.816
u0133,4.636,4.735
u0134,8.481,6.810
u0135,5.691,3.967
u0136,5.716,6.877
u0137,5.133,2.645
u0138,3.219,1.668
u0139,2.942,5.706
u0140,6.781,5.279
u0141,9.211,5.816
u0142,7.657,7.733
u0143,2.598,0.471
u0144,3.959,5.901
u0145,8.851,4.536
